target_dataset,feature_set,model,scenario,calibration_method,conformal_method,marginal_coverage,coverage_bootstrap_mean,coverage_ci_low,coverage_ci_high,average_prediction_set_size,referral_rate,clinical_cost
NHANES,model_a_screening,Logistic Regression,adaptive_calibration_target_selected,beta,multi_objective_dp_shift_atcp,0.8551483420593369,0.8552675974403722,0.8346204188481675,0.876178010471204,1.4144851657940662,0.4144851657940663,1.0157068062827226
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,source_split_conformal,0.890625,0.8887934027777779,0.859375,0.9166666666666666,1.5416666666666667,0.5416666666666666,1.3072916666666667
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,importance_weighted_source_conformal,0.9088541666666666,0.9077430555555556,0.8814453125,0.9348958333333334,1.5885416666666667,0.5885416666666666,1.3307291666666667
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,target_only_conformal,0.8541666666666666,0.8519097222222223,0.8163411458333333,0.8854166666666666,1.46875,0.46875,1.2916666666666667
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,0.890625,0.8887934027777779,0.859375,0.9166666666666666,1.5416666666666667,0.5416666666666666,1.3072916666666667
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,weighted_target_dominant_atcp,0.8515625,0.8491145833333333,0.8151041666666666,0.8828125,1.4661458333333333,0.4661458333333333,1.2890625
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,shift_aware_source_trust_atcp,0.8515625,0.8491145833333333,0.8151041666666666,0.8828125,1.4661458333333333,0.4661458333333333,1.2890625
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,class_conditional_weighted_atcp,0.8723958333333334,0.8702690972222221,0.8397786458333333,0.9010416666666666,1.5078125,0.5078125,1.2369791666666667
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,risk_asymmetric_shift_atcp,0.8723958333333334,0.870234375,0.8359375,0.9050130208333332,1.5026041666666667,0.5026041666666666,1.2057291666666667
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,dp_shift_atcp,0.8671875,0.8649826388888889,0.8333333333333334,0.8984375,1.484375,0.484375,1.1953125
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,safety_gated_atcp,0.8515625,0.8491145833333333,0.8151041666666666,0.8828125,1.4661458333333333,0.4661458333333333,1.2890625
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,safety_gated_shift_atcp,0.8515625,0.8491145833333333,0.8151041666666666,0.8828125,1.4661458333333333,0.4661458333333333,1.2890625
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,multi_objective_safety_gated_atcp,0.8515625,0.8491145833333333,0.8151041666666666,0.8828125,1.4661458333333333,0.4661458333333333,1.2890625
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.8541666666666666,0.8519097222222223,0.8163411458333333,0.8854166666666666,1.46875,0.46875,1.2916666666666667
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,source_split_conformal,0.9140625,0.9129774305555555,0.8854166666666666,0.9388671874999999,1.8333333333333333,0.8333333333333334,1.7526041666666667
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,importance_weighted_source_conformal,0.9244791666666666,0.9239149305555556,0.8996744791666667,0.9479166666666666,1.859375,0.859375,1.7942708333333333
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,target_only_conformal,0.875,0.8737152777777777,0.8411458333333334,0.9036458333333334,1.7526041666666667,0.7526041666666666,1.6302083333333333
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,adaptive_transport_conformal,0.9114583333333334,0.9101909722222223,0.8814453125,0.9362630208333332,1.828125,0.828125,1.7447916666666667
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,weighted_target_dominant_atcp,0.8697916666666666,0.8685850694444446,0.8359375,0.8998046874999999,1.7395833333333333,0.7395833333333334,1.609375
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,shift_aware_source_trust_atcp,0.8697916666666666,0.8685850694444446,0.8359375,0.8998046874999999,1.7395833333333333,0.7395833333333334,1.609375
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,class_conditional_weighted_atcp,0.8723958333333334,0.8702690972222221,0.8397786458333333,0.9010416666666666,1.5078125,0.5078125,1.2369791666666667
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,risk_asymmetric_shift_atcp,0.8723958333333334,0.870234375,0.8359375,0.9050130208333332,1.5026041666666667,0.5026041666666666,1.2057291666666667
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,dp_shift_atcp,0.8671875,0.8649826388888889,0.8333333333333334,0.8984375,1.484375,0.484375,1.1953125
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,safety_gated_atcp,0.8697916666666666,0.8685850694444446,0.8359375,0.8998046874999999,1.7395833333333333,0.7395833333333334,1.609375
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,safety_gated_shift_atcp,0.8697916666666666,0.8685850694444446,0.8359375,0.8998046874999999,1.7395833333333333,0.7395833333333334,1.609375
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,multi_objective_safety_gated_atcp,0.8697916666666666,0.8685850694444446,0.8359375,0.8998046874999999,1.7395833333333333,0.7395833333333334,1.609375
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,multi_objective_dp_shift_atcp,0.875,0.8737152777777777,0.8411458333333334,0.9036458333333334,1.7526041666666667,0.7526041666666666,1.6302083333333333
